Rule_ID,Rule_Name,DQ_Dimension,CDE_Affected,Description,Severity,Total_Records,Records_Passed,Records_Failed,Pass_Rate_Pct,Status,Remediation_Action
DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,HOUSING_STARTS must not be NULL.,High,10800,10597,203,98.12,WARN,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'."
DQ-002,Housing Starts Non-Negative,Validity,HOUSING_STARTS,HOUSING_STARTS must be >= 0. Negative values are physically impossible.,Critical,10800,10493,307,97.16,WARN,Root cause: manual data entry error in source permit system. Remediation: take absolute value and flag record for steward review.
DQ-003,Average Price Completeness,Completeness,AVERAGE_PRICE_CAD,AVERAGE_PRICE_CAD must not be NULL on non-suppressed records.,Medium,10800,10666,134,98.76,WARN,Escalate to Data Steward. Re-run price survey aggregation for affected period/geography.
DQ-004,Average Price Non-Negative,Validity,AVERAGE_PRICE_CAD,AVERAGE_PRICE_CAD must be > 0. Negative prices are invalid.,Critical,10800,10683,117,98.92,WARN,Root cause: sign-flip error during CPI adjustment. Remediation: take absolute value and reprocess through price adjustment pipeline.
DQ-005,Average Price Ceiling Check,Validity,AVERAGE_PRICE_CAD,"AVERAGE_PRICE_CAD must not exceed $10,000,000.",Medium,10800,10800,0,100.0,PASS,Escalate to Data Owner for manual review. Likely data entry error or unit mismatch.
DQ-006,GEO_CODE Referential Integrity,Validity,GEO_CODE,GEO_CODE must be a valid Canadian province/territory code.,High,10800,10800,0,100.0,PASS,Lookup correct GEO_CODE from Statistics Canada geographic reference table.
DQ-007,Dwelling Type Domain Validity,Validity,DWELLING_TYPE,DWELLING_TYPE must be one of 5 approved categories.,High,10800,10800,0,100.0,PASS,Map to nearest approved dwelling type using reference lookup table. Escalate if ambiguous.
DQ-008,Intended Market Domain Validity,Validity,INTENDED_MARKET,"INTENDED_MARKET must be one of: Homeowner, Rental, Condominium.",High,10800,10800,0,100.0,PASS,Map to approved value using permit application reference data.
DQ-009,Reference Date Format,Validity,REF_DATE,REF_DATE must follow YYYY-MM format.,Medium,10800,10800,0,100.0,PASS,Reformat to YYYY-MM using date parsing. Reject if year or month is out of valid range.
DQ-010,Grain Uniqueness,Uniqueness,REF_DATE+GEO_CODE+DWELLING_TYPE+INTENDED_MARKET,Each grain combination must be unique.,High,10800,10800,0,100.0,PASS,Identify source of duplicate load. Remove duplicate keeping most recent record. Investigate ETL pipeline.
DQ-011,Reference Date Not Future,Validity,REF_DATE,REF_DATE must not be after the current month.,Medium,10800,10800,0,100.0,PASS,Remove future-dated records. Investigate source system for clock/date errors.
DQ-012,Status Code Validity,Validity,STATUS,"STATUS must be blank, 'E', 'F', or 'r'.",Low,10800,10800,0,100.0,PASS,Map to nearest valid status code. Blank (final) is default.
